All the intelligent work was done by Cavor.	Cavor did All the intelligent work . 
 But Warden Atherton must have left strict injunctions on the guards, for, though I managed to call Morrell and tell him I intended trying the experiment, he was prevented by the guards from replying.	  But Warden Atherton must have left strict injunctions on the guards , for , though I managed to call Morrell and tell him I intended trying the experiment , the guards prevented him from replying . 
 I was torn by an exquisite and disruptive agony.	  an exquisite and disruptive agony tore me . 
Also was I aided by divining, the moment in advance, what he had in mind.	Also divining , aided me the moment in advance , what he had in mind . 
In the meanwhile, and for hours, the animals would be herded by men and boys to what scant grass they could find.	In the meanwhile , and for hours , men and boys would herd the animals to what scant grass they could find . 
Other men, wounded, were being cared for by the women.	the women , werecaring for Other men , wounded . 
Little Rish Hardacre had been struck in the arm by a heavy ball.	a heavy ball had struck in the arm Little Rish Hardacre . 
The whole camp was downcast by reason of their report.	reason of their report downcasted The whole camp . 
One strapping Korean, all in pale-tinted silks of various colours, was surrounded by half a dozen obsequious attendants, also clad in silk.	half a dozen obsequious attendants surrounded One strapping Korean , all in pale - tinted silks of various colours , , also clad in silk . 
From dawn till dark our barred windows were besieged by the natives, for no member of our race had they ever seen before.	From dawn till dark the natives besieged our barred windows , for no member of our race had they ever seen before . 
This was caused by the arrival of Kim.	the arrival of Kim caused This . 
In the towns at night our inns were besieged by multitudes, so that we got no peace until the soldiers drove them off with lance-pricks and blows.	In the towns at night multitudes besieged our inns , so that we got no peace until the soldiers drove them off with lance - pricks and blows . 
She was unhampered by rule or convention.	rule or convention unhampered her . 
So it was promulgated by imperial decree that I was a prince of Koryu.	So imperial decree that I was a prince of Koryu promulgated it . 
He and the cunies were rounded in by Yi Sun-sin, the local magistrate, one of Chong Mong-ju’s adherents.	Yi Sun - sin , the local magistrate , one of Chong Mong - ju ’s adherents rounded in him and the cunies . 
Hamel, whom Chong Mong-ju divined as my brains, was executed by the paddle—in short, was promptly and expeditiously beaten to death to the delighted shouts of the Keijo populace.	the paddle executed Hamel , whom Chong Mong - ju divined as my brains , — in short , was promptly and expeditiously beaten to death to the delighted shouts of the Keijo populace . 
